City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,palmer,42.1584,-72.3287,74.77,85,100,4.61,US,1689560147
211,bafra,41.5678,35.9069,67.35,76,0,3.98,TR,1689560148
212,tofol,5.3248,163.0078,83.98,74,75,11.5,FM,1689560148
213,cova figueira,14.8905,-24.2934,73.81,88,98,7.61,CV,1689560149
214,bom jesus da lapa,-13.255,-43.4181,74.23,58,1,5.37,BR,1689560149
215,saurimo,-9.6608,20.3916,63.61,32,0,8.84,AO,1689560149
216,haiku-pauwela,20.9219,-156.3051,84.22,60,40,24.16,US,1689560150
217,pont rouge,48.8833,-72.0825,66.49,99,98,3.98,CA,1689560150
218,polyarnyy,69.1989,33.4478,59.16,66,100,8.55,RU,1689560150
219,huarmey,-10.0681,-78.1522,69.21,82,59,8.79,PE,1689560150
220,pangody,65.85,74.4859,58.95,69,99,16.44,RU,1689560151
221,chinhoyi,-17.3667,30.2,49.48,60,0,4.43,ZW,1689560151
222,wamba,8.9333,8.6,73.65,90,84,0.63,NG,1689560151
223,kenai,60.5544,-151.2583,57.29,97,100,10.36,US,1689560151
224,shalqar,47.8333,59.6,71.4,49,15,11.52,KZ,1689560152
225,urangan,-25.3,152.9,74.19,63,20,11.88,AU,1689560152
226,taber,49.8167,-112.1518,85.66,49,87,13.8,CA,1689560050
227,codrington,-38.2667,141.9667,53.73,68,0,13.09,AU,1689560152
228,chinde,26.8418,88.0763,68.49,88,100,3.58,NP,1689560152
229,rio grande,-32.035,-52.0986,40.95,74,100,9.46,BR,1689559865
230,yuzawa,39.1667,140.5,83.21,81,68,11.34,JP,1689560153
231,qashyr,53.0675,76.1036,66.6,71,37,5.32,KZ,1689560154
232,alofi,-19.0595,-169.9187,67.89,94,100,11.5,NU,1689560154
233,ishigaki,24.3448,124.1572,89.73,74,75,9.22,JP,1689560154
234,valdez,1.2492,-78.9831,79.66,86,100,9.31,EC,1689560154
235,salalah,17.0151,54.0924,77.09,100,100,6.91,OM,1689560003
236,sinop,41.7711,34.8709,60.6,77,0,3.44,TR,1689560155
237,baiyin,36.5583,104.2081,77.38,33,38,3.38,CN,1689560155
238,al bardiyah,31.7561,25.0865,78.49,80,0,8.43,LY,1689560155
239,arquitecto tomas romero pereira,-26.4833,-55.25,50.31,95,5,3.06,PY,1689560155
240,varberg,57.1056,12.2508,62.06,89,93,18.81,SE,1689560156
241,remire-montjoly,4.9167,-52.2667,71.64,100,0,0.0,GF,1689560156
242,lae,-6.7221,146.9847,83.12,64,100,3.58,PG,1689560156
